id,label
1,4664.607
2,6231.023
3,3883.963
4,4841.172
5,5001.925
6,3279.851
7,4590.427
8,4265.220
9,6657.319
10,4612.059
11,6432.350
12,6554.206
13,4046.895
14,6061.098
15,2144.806
16,7169.484
17,5133.117
18,1587.325
19,5243.765
20,4939.658
21,7401.908
22,3672.607
23,6410.619
24,1646.992
25,4108.715
26,3988.075
27,6735.450
28,4917.108
29,7406.588
30,4588.154
31,6614.160
32,7191.296
33,3717.067
34,4629.379
35,2121.640
36,4371.628
37,4221.463
38,5294.285
39,1322.890
40,4408.697
41,4113.532
42,3621.862
43,5316.475
44,4299.543
45,4468.539
46,6830.136
47,1992.868
48,3824.291
49,5197.082
50,2442.557
51,7072.654
52,4244.412
53,4684.425
54,7342.868
55,2462.291
56,6200.480
57,4403.342
58,4168.661
59,2556.539
60,5124.899
61,4168.055
62,3704.483
63,1636.558
64,4680.108
65,3585.555
66,4136.089
67,7761.185
68,5206.803
69,4669.683
70,7503.303
71,2005.767
72,4839.694
73,6934.532
74,5764.540
75,4282.833
76,4831.293
77,3880.435
78,6091.076
79,4989.839
80,4812.734
81,5636.162
82,6034.912
83,3543.559
84,3613.010
85,6822.418
86,3476.091
87,5378.745
88,3680.724
89,2904.058
90,3268.851
91,1425.731
92,4669.010
93,5749.818
94,3386.208
95,3520.872
96,7766.565
97,6012.295
98,1070.137
99,4661.791
100,1661.565
101,5021.072
102,4936.951
103,2035.104
104,4651.632
105,4282.812
106,3406.975
107,1955.525
108,3821.530
109,3811.110
110,1056.530
111,3850.852
112,4897.629
113,5112.648
114,5948.129
115,3330.426
116,3778.322
117,4645.570
118,2274.899
119,3241.786
120,4904.361
121,7503.206
122,4188.844
123,3772.660
124,6476.750
125,4811.510
126,3983.714
127,6940.592
128,1884.211
129,4745.816
130,6859.975
131,5461.957
132,4940.307
133,2571.238
134,4089.935
135,6934.578
136,2887.228
137,1527.218
138,3392.859
139,3708.471
140,4649.676
141,3066.904
142,4542.270
143,3331.086
144,1386.262
145,3871.918
146,1813.516
147,2230.539
148,6622.753
149,2065.219
150,4989.138
151,2176.418
152,1338.745
153,6014.576
154,6502.865
155,6357.235
156,4015.134
157,2057.950
158,4514.313
159,4939.513
160,5845.602
161,1810.926
162,5215.493
163,5546.587
164,6047.626
165,4690.141
166,4988.838
167,4660.442
168,4577.514
169,7036.015
170,4879.807
171,7168.363
172,7383.678
173,4703.762
174,5627.812
175,6417.604
176,6274.745
177,5836.845
178,5556.403
179,2869.634
180,7049.912
181,3687.086
182,4976.658
183,4919.987
184,3887.546
185,7287.322
186,3408.679
187,4039.027
188,4763.005
189,4597.159
190,5107.392
191,4636.405
192,2549.359
193,2642.073
194,4583.163
195,4766.124
196,2298.475
197,1332.869
198,4222.547
199,2107.664
200,2449.609
201,1254.157
202,4747.926
203,2699.947
204,2659.639
205,3122.836
206,7129.331
207,7155.263
208,3243.240
209,2703.602
210,5491.140
211,1722.434
212,5121.310
213,5004.069
214,6297.067
215,2650.375
216,6035.100
217,5000.034
218,5693.566
219,2296.323
220,6952.148
